strategy,symbol,date,entry_time,exit_time,direction,setup,entry,stop,risk_pct,target_r,partial_hit,exit_reason,pnl_r
Jason Berry,CL=F,2026-07-08,10:10,10:10,long,OR breakout + EMA trend,74.33,74.0745,0.344,1.0,False,stop,-1.0
Jason Berry,CL=F,2026-07-09,10:10,10:40,short,OR breakdown + EMA trend,72.57,72.8165,0.34,1.0,False,stop,-1.0
Jason Berry,CL=F,2026-07-10,11:10,12:05,short,OR breakdown + EMA trend,71.37,71.747,0.528,1.0,True,breakeven,0.5
Jason Berry,CL=F,2026-07-13,10:15,10:15,long,OR breakout + EMA trend,74.83,74.3789,0.603,1.0,False,stop,-1.0
Jason Berry,CL=F,2026-07-14,10:05,10:10,short,OR breakdown + EMA trend,79.57,79.89,0.402,1.0,False,stop,-1.0
Jason Berry,CL=F,2026-07-15,10:30,12:20,short,OR breakdown + EMA trend,79.26,79.587,0.413,1.0,True,breakeven,0.5
Jason Berry,CL=F,2026-07-16,10:40,15:50,short,OR breakdown + EMA trend,79.79,80.033,0.305,1.0,True,time,3.278
Jason Berry,CL=F,2026-07-17,10:50,11:20,short,OR breakdown + EMA trend,80.44,80.724,0.353,1.0,True,breakeven,0.5
Jason Berry,CL=F,2026-07-20,10:10,10:25,long,OR breakout + EMA trend,81.97,81.5665,0.492,1.0,False,stop,-1.0
Jason Berry,CL=F,2026-07-21,11:10,11:10,short,OR breakdown + EMA trend,84.2,84.504,0.361,1.0,False,stop,-1.0
Jason Berry,CL=F,2026-07-22,10:10,10:10,long,OR breakout + EMA trend,87.11,86.7675,0.393,1.0,False,stop,-1.0
Jason Berry,CL=F,2026-07-23,10:45,10:45,long,OR breakout + EMA trend,92.06,91.6305,0.467,1.0,False,stop,-1.0
Jason Berry,CL=F,2026-07-24,10:15,10:15,short,OR breakdown + EMA trend,89.59,89.9265,0.376,1.0,False,stop,-1.0
Jason Berry,ZB=F,2026-05-13,10:05,10:30,short,OR breakdown + EMA trend,112.125,112.2141,0.079,1.0,True,breakeven,0.5
Jason Berry,ZB=F,2026-05-14,10:20,10:40,short,OR breakdown + EMA trend,112.4688,112.5859,0.104,1.0,False,stop,-1.0
Jason Berry,ZB=F,2026-05-15,12:40,13:25,short,OR breakdown + EMA trend,110.6875,110.7687,0.073,1.0,False,stop,-1.0
Jason Berry,ZB=F,2026-05-18,10:20,10:20,short,OR breakdown + EMA trend,110.6562,110.7625,0.096,1.0,False,stop,-1.0
Jason Berry,ZB=F,2026-05-19,10:20,10:20,short,OR breakdown + EMA trend,109.625,109.8393,0.195,1.0,False,stop,-1.0
Jason Berry,ZB=F,2026-05-20,10:20,10:25,long,OR breakout + EMA trend,110.125,110.0047,0.109,1.0,True,breakeven,0.5
Jason Berry,ZB=F,2026-05-21,12:45,13:00,long,OR breakout + EMA trend,110.7188,110.6281,0.082,1.0,False,stop,-1.0
Jason Berry,ZB=F,2026-05-22,10:05,11:15,short,OR breakdown + EMA trend,111.2188,111.3728,0.138,1.0,True,breakeven,0.5
Jason Berry,ZB=F,2026-05-26,11:35,11:50,short,OR breakdown + EMA trend,112.0938,112.1656,0.064,1.0,False,stop,-1.0
Jason Berry,ZB=F,2026-05-27,10:30,10:30,short,OR breakdown + EMA trend,111.8125,111.9219,0.098,1.0,False,stop,-1.0
Jason Berry,ZB=F,2026-05-28,10:10,10:10,long,OR breakout + EMA trend,112.4375,112.25,0.167,1.0,False,stop,-1.0
Jason Berry,ZB=F,2026-05-29,10:55,11:00,long,OR breakout + EMA trend,112.5312,112.4437,0.078,1.0,False,stop,-1.0
Jason Berry,ZB=F,2026-06-01,11:30,11:30,long,OR breakout + EMA trend,111.9062,111.8125,0.084,1.0,False,stop,-1.0
Jason Berry,ZB=F,2026-06-02,10:05,15:35,short,OR breakdown + EMA trend,112.5938,112.6781,0.075,1.0,True,breakeven,0.5
Jason Berry,ZB=F,2026-06-03,10:05,11:10,long,OR breakout + EMA trend,112.1875,112.0737,0.101,1.0,False,stop,-1.0
Jason Berry,ZB=F,2026-06-04,10:25,14:00,short,OR breakdown + EMA trend,112.375,112.4578,0.074,1.0,True,breakeven,0.5
Jason Berry,ZB=F,2026-06-05,10:10,10:40,long,OR breakout + EMA trend,111.7812,111.675,0.095,1.0,False,stop,-1.0
Jason Berry,ZB=F,2026-06-08,10:05,14:40,short,OR breakdown + EMA trend,111.5938,111.7277,0.12,1.0,True,breakeven,0.5
Jason Berry,ZB=F,2026-06-09,10:45,10:45,short,OR breakdown + EMA trend,111.5,111.5859,0.077,1.0,False,stop,-1.0
Jason Berry,ZB=F,2026-06-10,10:10,10:10,long,OR breakout + EMA trend,111.9375,111.8516,0.077,1.0,False,stop,-1.0
Jason Berry,ZB=F,2026-06-11,13:00,13:00,short,OR breakdown + EMA trend,111.75,111.8328,0.074,1.0,False,stop,-1.0
Jason Berry,ZB=F,2026-06-12,11:10,11:45,long,OR breakout + EMA trend,112.4062,112.3063,0.089,1.0,True,breakeven,0.5
Jason Berry,ZB=F,2026-06-15,10:05,10:30,long,OR breakout + EMA trend,112.9375,112.8538,0.074,1.0,False,stop,-1.0
Jason Berry,ZB=F,2026-06-16,11:30,15:50,long,OR breakout + EMA trend,112.9375,112.8605,0.068,1.0,True,time,2.123
Jason Berry,ZB=F,2026-06-17,11:20,11:50,long,OR breakout + EMA trend,113.2812,113.1859,0.084,1.0,False,stop,-1.0
Jason Berry,ZB=F,2026-06-18,10:05,10:10,short,OR breakdown + EMA trend,113.625,113.7125,0.077,1.0,False,stop,-1.0
Jason Berry,ZB=F,2026-06-22,11:45,11:45,short,OR breakdown + EMA trend,112.5938,112.7076,0.101,1.0,False,stop,-1.0
Jason Berry,ZB=F,2026-06-23,11:45,13:10,long,OR breakout + EMA trend,113.0312,112.9275,0.092,1.0,False,stop,-1.0
Jason Berry,ZB=F,2026-06-24,10:05,10:55,long,OR breakout + EMA trend,114.0312,113.9437,0.077,1.0,True,breakeven,0.5
